IDp,lifespan,lrs,lrssa,ngo.kk,prop.lrs.non.migrators
P0000037280,NA,NA,NA,NA,NA
P0000037281,NA,NA,NA,NA,NA
P0000037282,NA,NA,NA,NA,NA
P0000037283,78.4251537935748,3,3,0,1
P0000037284,NA,NA,NA,NA,NA
P0000037285,NA,NA,NA,NA,NA
P0000037286,NA,NA,NA,NA,NA
P0000037287,5.59398496240602,0,0,0,1
P0000037288,NA,NA,NA,NA,NA
P0000037289,NA,NA,NA,NA,NA
P0000037290,NA,NA,NA,NA,NA
P0000037291,NA,NA,NA,NA,NA
P0000037292,NA,NA,NA,NA,NA
P0000037293,NA,NA,NA,NA,NA
P0000037294,NA,NA,NA,NA,NA
P0000037295,NA,NA,NA,NA,NA
P0000037296,NA,NA,NA,NA,NA
P0000037297,NA,NA,NA,NA,NA
P0000037298,NA,NA,NA,NA,NA
P0000037299,NA,NA,NA,NA,NA
P0000037300,NA,NA,NA,NA,NA
P0000037301,NA,NA,NA,NA,NA
P0000037302,80.4483937115516,4,4,5,1
P0000037303,NA,NA,NA,NA,NA
P0000037304,NA,NA,NA,NA,NA
P0000037305,NA,NA,NA,NA,NA
P0000037306,NA,NA,NA,NA,NA
P0000037307,NA,NA,NA,NA,NA
P0000037308,NA,NA,NA,NA,NA
P0000037309,NA,NA,NA,NA,NA
P0000037310,NA,NA,NA,NA,NA
P0000037311,NA,NA,NA,NA,NA
P0000037312,NA,NA,NA,NA,NA
P0000037313,NA,NA,NA,NA,NA
P0000037314,NA,NA,NA,NA,NA
P0000037315,NA,NA,NA,NA,NA
P0000037316,NA,NA,NA,NA,NA
P0000037317,NA,NA,NA,NA,NA
P0000037318,NA,NA,NA,NA,NA
P0000037319,NA,NA,NA,NA,NA
P0000037320,NA,NA,NA,NA,NA
P0000037321,NA,NA,NA,NA,NA
P0000037322,NA,NA,NA,NA,NA
P0000037323,NA,NA,NA,NA,NA
P0000037324,NA,NA,NA,NA,NA
P0000037325,72.34996582365,4,4,0,1
P0000037326,NA,NA,NA,NA,NA
P0000037327,NA,NA,NA,NA,NA
P0000037328,NA,NA,NA,NA,NA
